CCFR,AMFR,OFR,SFR,PFR,Placed
0,0.3924050633,0.4090909091,0.4166666667,0,0
0,0.3924050633,0.4090909091,0.4166666667,0,0
1,0.3,0.4090909091,0.4166666667,1,1
0,0.3695652174,0.4090909091,0.4166666667,0,0
0.5,0.3,0.4090909091,0.4166666667,0.5,0
0.1,0.3695652174,0.4090909091,0.4166666667,0.1,0
0,0.3695652174,0.4090909091,0.4166666667,0,0
0.125,0.3,0.4090909091,0.4166666667,0.125,0
1,0.3924050633,0.4090909091,0.4166666667,1,1
0.6666666667,0.3,0.4090909091,0.4166666667,0.6666666667,1
1,0.3695652174,0.4090909091,0.4166666667,1,1
0.6666666667,0.3924050633,0.4090909091,0.4166666667,0.6666666667,1
0,0.3454545455,0.4090909091,0.4166666667,0,0
0,0.3454545455,0.4090909091,0.4166666667,0,0
0,0.3,0.4090909091,0.4166666667,0,0
0,0.3,0.4090909091,0.4166666667,0,0
0.5,0.3695652174,0.4090909091,0.4166666667,0.5,1
0.5,0.3695652174,0.4090909091,0.4166666667,0.5,0
1,0.3,0.4090909091,0.4166666667,1,1
0.3333333333,0.3454545455,0.4090909091,0.4166666667,0.3333333333,1
1,0.3924050633,0.4090909091,0.4166666667,1,1
0,0.3454545455,0.5,0.4166666667,0,0
0.5,0.3454545455,0.5,0.4166666667,0.5,1
0.2857142857,0.3,0,0.4166666667,0.2857142857,0
0.4444444444,0.3924050633,0,0.4166666667,0.4444444444,0
0.2,0.3924050633,0,0.4166666667,0.2,0
0,0.4615384615,0,0.4166666667,0,0
0,0.4615384615,0,0.4166666667,0,0
0.1428571429,0.3,0.5,0.4166666667,0.1428571429,0
0.5,0.3454545455,0.5,0.4166666667,0.5,1
1,0.3454545455,1,0.4166666667,1,1
0.75,0.4615384615,0.3333333333,0.4166666667,0.75,1
0.75,0.4615384615,0.3333333333,0.4166666667,0.75,0
0,0.3454545455,0.3333333333,0.4166666667,0,0
0,0.3,0.3333333333,0.4166666667,0,0
1,0.3695652174,0.3333333333,0.4166666667,1,1
0,0.3,0.3333333333,0.4166666667,0,0
0,0.3924050633,0.4,0.4166666667,0,0
0,0.3695652174,0.4,0.4166666667,0,0
0.3333333333,0.3924050633,0.4,0.4166666667,0.3333333333,1
1,0.3454545455,0.4,0.4166666667,1,1
0.5,0.3454545455,0.4,0.4166666667,0.5,0
1,0.3924050633,0.4,0.4166666667,1,1
0.6666666667,0.3,0.4,0.4166666667,0.6666666667,1
1,0.3695652174,0.4,0.4166666667,1,1
0.5,0.3695652174,0.4,0.4166666667,0.5,1
0,0.3924050633,0.4,0.4166666667,0,0
0,0.3924050633,0.4,0.3245614035,0,0
0,0.3454545455,0.4,0.3245614035,0,0
0,0.3454545455,0.4,0.3245614035,0,0
0,0.3454545455,0.4,0.3245614035,0,0
0.5,0.3695652174,0.4,0.3245614035,0.5,1
0.2857142857,0.3,0.4,0.3245614035,0.2857142857,0
0.5,0.3454545455,0.4,0.3245614035,0.5,0
0,0.3454545455,0.4,0.3245614035,0,0
1,0.3454545455,0.8333333333,0.3245614035,1,1
1.4,0.4615384615,0.8333333333,0.3245614035,1.4,1
1,0.3,0.8333333333,0.3245614035,1,1
1,0.3695652174,0.8333333333,0.3245614035,1,1
0,0.3454545455,0.8333333333,0.3245614035,0,0
0.3333333333,0.3,0.8333333333,0.3245614035,0.3333333333,0
0.3333333333,0.3454545455,0.5,0.3245614035,0.3333333333,1
0,0.3454545455,0.5,0.3245614035,0,0
0.6666666667,0.3,0.5,0.3245614035,0.6666666667,1
